rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey
40,MO,Altria,Consumer Staples,Tobacco,115422887936,0.42411727616645656,0.053,0.62294996,0.39518002,,1.3346211650834165,0.10601441700164593,0.2512025791655512,0.017992436400466882,14.430063,11.767971,none
41,AME,Ametek,Industrials,Electrical Components & Equipment,54417379328,0.4188002782971692,0.113,0.26299,0.20108,0.14626999,0.8157650833414603,0.12398385210508,0.3609487552343571,0.09110438041391533,35.864048,26.98985,buy
42,FAST,Fastenal,Industrials,Trading Companies & Distributors,52683329536,0.412363569161195,0.124,0.2033,0.15392,0.33842,0.07249139651560746,0.04214667233660463,0.12758518456307733,0.01674287689192866,40.61062,33.479977,hold
43,BAC,Bank of America,Financials,Diversified Banks,398828404736,0.4037874505370266,0.081,0.35956,0.28956,0.10644,,0.08707136771284851,0.29830972463306926,0.12382720894284494,13.945409,11.126114,strong_buy
44,UNP,Union Pacific Corporation,Industrials,Rail Transportation,152513052672,0.4026938296299517,0.032,0.40357,0.29202,0.40686,2.4209438676591097,0.07116107899439506,0.19095563807526417,0.13565577100126824,21.142387,18.748367,buy
45,AMGN,Amgen,Health Care,Biotechnology,182205513728,0.39927055702917774,0.058,0.33800998,0.20955999,1.01318,2.6767349107380425,0.02965274316388955,0.19892275009011584,0.04492492186695629,23.47705,14.38051,buy
46,TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,23065800704,0.38069204678871155,0.053,0.37183997,0.28278,0.18688999,-1.1166427182048986,0.09445600506723495,0.23696377003253222,-0.09119063062455224,11.550429,11.168541,hold
47,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,26719059968,0.37092229421228856,0.044,0.16173,0.1381,0.54007,0.5103554778925533,0.17556674894710111,0.4671674156361143,-0.07224430769094214,25.43946,22.095402,buy
48,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,46462746624,0.3646334304474497,0.13,0.18983,0.10515001,0.11305001,2.538095314285714,0.18711305419245883,0.3695302650577401,0.09557029803537587,38.786118,22.528454,none
49,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,57946730496,0.35272644257946695,0.025,0.12282,0.11171,0.17184,0.04770786285834688,0.06491020623344967,0.5004611577941644,0.21962164331620437,18.66134,20.9895,buy
50,PM,Philip Morris International,Consumer Staples,Tobacco,278046900224,0.35239596469104667,0.091,0.36044,0.26742,,2.5014519607776187,0.08310032614305762,0.006875167986603925,0.08664325466560574,25.12676,19.542845,buy
